"MegaeraHome","ID","ID","ID","","","","Line","","","Notes by DK"
"Integrated","MegaeraHome_","0020","MegaeraHome_0020","","","","我们之间没什么好说的了，扎格列欧斯。","","",""
"Unused","MegaeraHome_","0050","MegaeraHome_0050","","","","感谢你上缴违禁品。这个…是给你的小奖励。","","",""
"Unused","MegaeraHome_","0052","MegaeraHome_0052","","","","谢谢，这个我没收了。然后，你也应该没收这个。给我拿着，赶紧走人。","","",""
"Integrated","MegaeraHome_","0053","MegaeraHome_0053","","","","哧…","","",""
"Integrated","MegaeraHome_","0054","MegaeraHome_0054","","","","你真是…","","",""
"Integrated","MegaeraHome_","0055","MegaeraHome_0055","","","","啊啊…","","",""
"Integrated","MegaeraHome_","0056","MegaeraHome_0056","","","","走啊。","","",""
"Integrated","MegaeraHome_","0057","MegaeraHome_0057","","","","哼。","","",""
"Integrated","MegaeraHome_","0058","MegaeraHome_0058","","","","扎格列欧斯。","","",""
"Integrated","MegaeraHome_","0059","MegaeraHome_0059","","","","你回来了。","","",""
"Integrated","MegaeraHome_","0060","MegaeraHome_0060","","","","你回来了？","","",""
"Integrated","MegaeraHome_","0061","MegaeraHome_0061","","","","嗯。","","",""
"To Be Integrated","MegaeraHome_","0063","MegaeraHome_0063","","","","不是让你离我远点吗？","","",""
"To Be Integrated","MegaeraHome_","0064","MegaeraHome_0064","","","","我说了让你走开。","","",""
"Integrated","MegaeraHome_","0066","MegaeraHome_0066","","","","嗯。","","",""
"Integrated","MegaeraHome_","0067","MegaeraHome_0067","","","","怎么？","","",""
"Integrated","MegaeraHome_","0068","MegaeraHome_0068","","","","有事吗？","","",""
"Integrated","MegaeraHome_","0069","MegaeraHome_0069","","","","呃。","","",""
"Integrated","MegaeraHome_","0070","MegaeraHome_0070","","","","咳。","","",""
"Integrated","MegaeraHome_","0071","MegaeraHome_0071","","","","干什么。","","",""
"Integrated","MegaeraHome_","0072","MegaeraHome_0072","","","","噢。","","",""
"Integrated","MegaeraHome_","0073","MegaeraHome_0073","","","","怎么…？","","",""
"Integrated","MegaeraHome_","0074","MegaeraHome_0074","","","","噢。","","",""
"Integrated","MegaeraHome_","0075","MegaeraHome_0075","","","","真辛苦啊。","","",""
"Integrated","MegaeraHome_","0076","MegaeraHome_0076","","","","又回来了。","","",""
"Integrated","MegaeraHome_","0122","MegaeraHome_0122","","","","我对那个混账幽灵的态度很是不满。你知道有多少次我必须鞭打他才能让他去做那种简单的工作吗？有时候我甚至想由我自己来替他推那该死的巨石。真的太可笑了。不过，好歹我现在不用整天——或者整晚——对着他那张脸了。最近真是特别忙，不是吗。但我还是会留出时间给你的，就像这样。我只是……希望那个悲惨的幽灵能明白自己的立场……","","",""
"Integrated","MegaeraHome_","0123","MegaeraHome_0123","","","","我向你发誓，我不知道她们之中哪一个更讨厌。一个极喜欢嘲弄人，让人完全无法忍受；这座大殿里也有一些阴阳怪气的家伙，可他们完全无法和她相比。另一个就像石头一样顽固，至少在我看来是这样；我就从来没说通过她。我有时也试着忽视我们之间的差异，但那完全是不可能的。因此，对于不得不再次见到她们俩这件事，我真的……真的觉得很难。不过幸运的是，我们得以在这里考虑对策……","","",""
"Integrated","MegaeraHome_","0124","MegaeraHome_0124","","","","我敢说他真的是个傻瓜。真不知道为什么哈迪斯大人会那样容忍他，可能只是懒得理他。我不知道哪一种情况更糟，是被强制送回这里，还是必须得听他那些无聊的建议……你真的觉得他喜欢我？决不可能。我倒是可以肯定他喜欢他自己的嗓音。总有一天我要把我的这些想法告诉他的母亲……好吧，我可能对他太刻薄了，他已经足够人畜无害了。尽管……","","",""
"Integrated","MegaeraHome_","0125","MegaeraHome_0125","","","","哎。","","",""
"Integrated","MegaeraHome_","0126","MegaeraHome_0126","","","","嗯。","","",""
"Integrated","MegaeraHome_","0127","MegaeraHome_0127","","","","嗯嗯。","","",""
"Integrated","MegaeraHome_","0128","MegaeraHome_0128","","","","好吧…","","",""
"Integrated","MegaeraHome_","0129","MegaeraHome_0129","","","","啊。","","",""
"Integrated","MegaeraHome_","0130","MegaeraHome_0130","","","","…没什么。","","",""
"Integrated","MegaeraHome_","0131","MegaeraHome_0131","","","","嗯…","","",""
"Integrated","MegaeraHome_","0188","MegaeraHome_0188","","","","欢迎回来。","","",""
"Integrated","MegaeraHome_","0189","MegaeraHome_0189","","","","扎格列欧斯。","","",""
"Integrated","MegaeraHome_","0190","MegaeraHome_0190","","","","嗨，你。","","",""
"Integrated","MegaeraHome_","0191","MegaeraHome_0191","","","","王子。","","",""
"Integrated","MegaeraHome_","0192","MegaeraHome_0192","","","","你回来了？","","",""
"Integrated","MegaeraHome_","0193","MegaeraHome_0193","","","","唔姆。","","",""
"Integrated","MegaeraHome_","0194","MegaeraHome_0194","","","","哦，嗨。","","",""
"Integrated","MegaeraHome_","0195","MegaeraHome_0195","","","","过来。","","",""
"Integrated","MegaeraHome_","0196","MegaeraHome_0196","","","","过来，扎格。","","",""
"Integrated","MegaeraHome_","0197","MegaeraHome_0197","","","","这边。","","",""
"Integrated","MegaeraHome_","0198","MegaeraHome_0198","","","","来跟我说话吗？","","",""
"Darren","MegaeraHome_","0214","MegaeraHome_0214","","","","我刚好准备再出门了，敬谢不敏。","","",""
"Integrated","MegaeraHome_","0227","MegaeraHome_0227","","","","<大笑>","","",""
"Darren","MegaeraHome_","0228","MegaeraHome_0228","","","","<大笑>","","",""
"Integrated","MegaeraHome_","0229","MegaeraHome_0229","","","","<大笑>","","",""
"Integrated","MegaeraHome_","0230","MegaeraHome_0230","","","","<大笑>","","",""
"Darren","MegaeraHome_","0231","MegaeraHome_0231","","","","<大笑>","","",""
"Integrated","MegaeraHome_","0232","MegaeraHome_0232","","","","让我们来看看……","","",""
"Integrated","MegaeraHome_","0233","MegaeraHome_0233","","","","接下来要做些什么。","","",""
"Integrated","MegaeraHome_","0234","MegaeraHome_0234","","","","我该拿你怎么办。","","",""
"Integrated","MegaeraHome_","0235","MegaeraHome_0235","","","","赶快过来，立刻马上。","","",""
"Integrated","MegaeraHome_","0236","MegaeraHome_0236","","","","我有了个主意。","","",""
"Integrated","MegaeraHome_","0237","MegaeraHome_0237","","","","啊，我知道这件事。","","",""
"Darren","MegaeraHome_","0238","MegaeraHome_0238","","","","你下一个逃脱尝试可以等。","","",""
"Integrated","MegaeraHome_","0239","MegaeraHome_0239","","","","想我了吗，扎格列欧斯？","","",""
"Integrated","MegaeraHome_","0240","MegaeraHome_0240","","","","什么使你回到这，嗯？","","",""
"Integrated","MegaeraHome_","0241","MegaeraHome_0241","","","","怎么了，扎格列欧斯？","","",""
"Integrated","MegaeraHome_","0242","MegaeraHome_0242","","","","你想从我这得到什么？","","",""
"Integrated","MegaeraHome_","0243","MegaeraHome_0243","","","","我能帮你吗，扎格列欧斯？","","",""
"Integrated","MegaeraHome_","0244","MegaeraHome_0244","","","","我能为你做什么？","","",""
"Darren","MegaeraHome_","0251","MegaeraHome_0251","","","","好吧。","","",""
"Integrated","MegaeraHome_","0252","MegaeraHome_0252","","","","我明白。","","",""
"Darren","MegaeraHome_","0253","MegaeraHome_0253","","","","了解。","","",""
"Darren","MegaeraHome_","0254","MegaeraHome_0254","","","","那就这样吧。","","",""
"Integrated","MegaeraHome_","0255","MegaeraHome_0255","","","","是的。","","",""
"Darren","MegaeraHome_","0256","MegaeraHome_0256","","","","谢谢。","","",""
"Integrated","MegaeraHome_","0257","MegaeraHome_0257","","","","谢谢。","","",""
"Darren","MegaeraHome_","0258","MegaeraHome_0258","","","","我很感激。","","",""
"Integrated","MegaeraHome_","0259","MegaeraHome_0259","","","","谢谢你。","","",""
"Integrated","MegaeraHome_","0260","MegaeraHome_0260","","","","谢谢。","","",""
"Darren","MegaeraHome_","0261","MegaeraHome_0261","","","","我欠你一个。","","",""
"Darren","MegaeraHome_","0262","MegaeraHome_0262","","","","我会想办法报答你。","","",""
"Darren","MegaeraHome_","0263","MegaeraHome_0263","","","","我有给你的东西。","","",""
"Darren","MegaeraHome_","0264","MegaeraHome_0264","","","","恰好捡到了这个。","","",""
"Darren","MegaeraHome_","0265","MegaeraHome_0265","","","","这是你能用的吧？","","",""
"Darren","MegaeraHome_","0266","MegaeraHome_0266","","","","给你，我想你可能需要这个。","","",""
"Darren","MegaeraHome_","0267","MegaeraHome_0267","","","","虽然不多，但拿着。","","",""
"Darren","MegaeraHome_","0268","MegaeraHome_0268","","","","那真是不幸。","","",""
"Darren","MegaeraHome_","0269","MegaeraHome_0269","","","","令人失望。","","",""
"Darren","MegaeraHome_","0270","MegaeraHome_0270","","","","我早该知道。","","",""
"Darren","MegaeraHome_","0271","MegaeraHome_0271","","","","真可惜。","","",""
"Darren","MegaeraHome_","0272","MegaeraHome_0272","","","","哼，没门儿。","","",""
"Darren","MegaeraHome_","0273","MegaeraHome_0273","","","","什么……？","","",""
"Darren","MegaeraHome_","0274","MegaeraHome_0274","","","","呃嗯嗯…","","",""
"Darren","MegaeraHome_","0275","MegaeraHome_0275","","","","那……呃……！","","",""
"Darren","MegaeraHome_","0276","MegaeraHome_0276","","","","啊，为什么，你……","","",""
"Darren","MegaeraHome_","0277","MegaeraHome_0277","","","","你这是怎么回事。","","",""
"Darren","MegaeraHome_","0278","MegaeraHome_0278","","","","你可知你干了什么好事？","","",""
"Darren","MegaeraHome_","0279","MegaeraHome_0279","","","","不可思议。","","",""
"Darren","MegaeraHome_","0280","MegaeraHome_0280","","","","难以置信。","","",""
"Integrated","MegaeraHome_","0281","MegaeraHome_0281","","","","离我远点。","","",""
"Integrated","MegaeraHome_","0282","MegaeraHome_0282","","","","别来烦我。","","",""
"Integrated","MegaeraHome_","0283","MegaeraHome_0283","","","","离开这里。","","",""
"Darren","MegaeraHome_","0284","MegaeraHome_0284","","","","什么……？","","",""
"Darren","MegaeraHome_","0285","MegaeraHome_0285","","","","你真的觉得……？","","",""
"Darren","MegaeraHome_","0286","MegaeraHome_0286","","","","等等，真的……？","","",""
"Darren","MegaeraHome_","0287","MegaeraHome_0287","","","","难以置信……","","",""
"Darren","MegaeraHome_","0288","MegaeraHome_0288","","","","你确定？","","",""
"Integrated","MegaeraHome_","0289","MegaeraHome_0289","","","","你办到了，扎格。","","",""
"Darren","MegaeraHome_","0290","MegaeraHome_0290","","","","我得说，确实不错。","","",""
"Darren","MegaeraHome_","0291","MegaeraHome_0291","","","","我认为你不够格，扎格。","","",""
"Darren","MegaeraHome_","0292","MegaeraHome_0292","","","","干得漂亮。","","",""
"Darren","MegaeraHome_","0293","MegaeraHome_0293","","","","干得漂亮。","","",""
"Integrated","MegaeraHome_","0294","MegaeraHome_0294","","","","真的……？","","",""
"Integrated","MegaeraHome_","0295","MegaeraHome_0295","","","","是真的。","","",""
"Integrated","MegaeraHome_","0296","MegaeraHome_0296","","","","哦，是真的……","","",""
"Integrated","MegaeraHome_","0297","MegaeraHome_0297","","","","荒谬。","","",""
"Integrated","MegaeraHome_","0298","MegaeraHome_0298","","","","你开玩笑吧。","","",""
"Integrated","MegaeraHome_","0299","MegaeraHome_0299","","","","你认真的？","","",""
"Integrated","MegaeraHome_","0300","MegaeraHome_0300","","","","真是个蠢货。","","",""
"Integrated","MegaeraHome_","0301","MegaeraHome_0301","","","","真是愚蠢。","","",""
"Integrated","MegaeraHome_","0302","MegaeraHome_0302","","","","说吧。","","",""
"Integrated","MegaeraHome_","0303","MegaeraHome_0303","","","","然后……？","","",""
"Integrated","MegaeraHome_","0304","MegaeraHome_0304","","","","不……","","",""
"Integrated","MegaeraHome_","0305","MegaeraHome_0305","","","","不…！","","",""
"Integrated","MegaeraHome_","0306","MegaeraHome_0306","","","","你认真的。","","",""
"Integrated","MegaeraHome_","0307","MegaeraHome_0307","","","","他是这么说的吗？","","",""
"Integrated","MegaeraHome_","0308","MegaeraHome_0308","","","","他真格的吗？","","",""
"Integrated","MegaeraHome_","0309","MegaeraHome_0309","","","","你成功了？","","",""
"Integrated","MegaeraHome_","0310","MegaeraHome_0310","","","","难以置信。","","",""
"Integrated","MegaeraHome_","0311","MegaeraHome_0311","","","","你不想知道我怎么想。","","",""
"Integrated","MegaeraHome_","0312","MegaeraHome_0312","","","","哦，血与黑暗。","","",""
"Integrated","MegaeraHome_","0313","MegaeraHome_0313","","","","如我所料。","","",""
"Integrated","MegaeraHome_","0314","MegaeraHome_0314","","","","如我所料！","","",""
"Integrated","MegaeraHome_","0315","MegaeraHome_0315","","","","我就知道！","","",""
"Integrated","MegaeraHome_","0316","MegaeraHome_0316","","","","唔，说真的。","","",""
"Integrated","MegaeraHome_","0317","MegaeraHome_0317","","","","那好吧……","","",""
"Integrated","MegaeraHome_","0318","MegaeraHome_0318","","","","能怎么办呢……","","",""
"Integrated","MegaeraHome_","0319","MegaeraHome_0319","","","","哦那可太糟了。","","",""
"Integrated","MegaeraHome_","0320","MegaeraHome_0320","","","","切，哦……","","",""
"Integrated","MegaeraHome_","0321","MegaeraHome_0321","","","","真是不幸。","","",""
"Integrated","MegaeraHome_","0322","MegaeraHome_0322","","","","哇哦。","","",""
"Integrated","MegaeraHome_","0323","MegaeraHome_0323","","","","什么？","","",""
"Integrated","MegaeraHome_","0324","MegaeraHome_0324","","","","什么？！","","",""
"Integrated","MegaeraHome_","0325","MegaeraHome_0325","","","","<嘲笑>","","",""
"Integrated","MegaeraHome_","0326","MegaeraHome_0326","","","","成了？","","",""
"Integrated","MegaeraHome_","0327","MegaeraHome_0327","","","","你真的这么说的？","","",""
"Integrated","MegaeraHome_","0328","MegaeraHome_0328","","","","我不知道。","","",""
"Integrated","MegaeraHome_","0329","MegaeraHome_0329","","","","我的意思是，我猜的。","","",""
"Integrated","MegaeraHome_","0330","MegaeraHome_0330","","","","我懂我懂。","","",""
"Integrated","MegaeraHome_","0331","MegaeraHome_0331","","","","听着，我……","","",""
"Integrated","MegaeraHome_","0332","MegaeraHome_0332","","","","完全没问题。","","",""
"Integrated","MegaeraHome_","0333","MegaeraHome_0333","","","","我明白，就这样。","","",""
"Unused","MegaeraHome_","0334","MegaeraHome_0334","","","","怎么回事，扎格列欧斯。","","",""
"Integrated","MegaeraHome_","0335","MegaeraHome_0335","","","","可真周全啊，我猜？","","",""
"Unused","MegaeraHome_","0336","MegaeraHome_0336","","","","既然如此。","","",""
"Unused","MegaeraHome_","0337","MegaeraHome_0337","","","","嗯，扎格列欧斯，你把我当什么人了？","","",""
"Unused","MegaeraHome_","0338","MegaeraHome_0338","","","","我不明白你为什么给我这个。","","",""
"Unused","MegaeraHome_","0339","MegaeraHome_0339","","","","如果这真是你想要的。","","",""
"Unused","MegaeraHome_","0340","MegaeraHome_0340","","","","我不认为我能收下这个，扎格列欧斯。","","",""
"Unused","MegaeraHome_","0341","MegaeraHome_0341","","","","我觉得我最好不这么做。","","",""
"Unused","MegaeraHome_","0342","MegaeraHome_0342","","","","直觉告诉我最好别。","","",""
"Unused","MegaeraHome_","0343","MegaeraHome_0343","","","","这真叫我难受，但我不得不求助。","","",""
"Integrated","MegaeraHome_","0344","MegaeraHome_0344","","","","我需要麻烦你一下，扎格。","","",""
"Integrated","MegaeraHome_","0345","MegaeraHome_0345","","","","","","",""
"Integrated","MegaeraHome_","0346","MegaeraHome_0346","","","","","","",""
"Darren","MegaeraHome_","0347","MegaeraHome_0347","","","","","","",""
"Darren","MegaeraHome_","0348","MegaeraHome_0348","","","","","","",""
"Darren","MegaeraHome_","0349","MegaeraHome_0349","","","","","","",""
"Integrated","MegaeraHome_","0350","MegaeraHome_0350","","","","","","",""
"Integrated","MegaeraHome_","0351","MegaeraHome_0351","","","","","","",""
"Integrated","MegaeraHome_","0355","MegaeraHome_0355","","","","","","",""
"Integrated","MegaeraHome_","0356","MegaeraHome_0356","","","","","","",""
"Integrated","MegaeraHome_","0357","MegaeraHome_0357","","","","","","",""
"Integrated","MegaeraHome_","0358","MegaeraHome_0358","","","","","","",""
"Integrated","MegaeraHome_","0359","MegaeraHome_0359","","","","","","",""
"Integrated","MegaeraHome_","0360","MegaeraHome_0360","","","","是啊，彼此彼此。","","",""
"Integrated","MegaeraHome_","0368","MegaeraHome_0368","","","","希望如此。","","",""
"Integrated","MegaeraHome_","0378","MegaeraHome_0378","","","","这根本就不应该发生，扎格列欧斯。","","",""
"Integrated","MegaeraHome_","0395","MegaeraHome_0395","","","","呵，我猜你会明白的。","","",""
"Integrated","MegaeraHome_","0403","MegaeraHome_0403","","","","这样才对嘛。","","",""
"Integrated","MegaeraHome_","0408","MegaeraHome_0408","","","","我说了，与我无关。","","",""
"Integrated","MegaeraHome_","0416","MegaeraHome_0416","","","","呵，行吧。","","",""
"Integrated","MegaeraHome_","0421","MegaeraHome_0421","","","","这才像你。","","",""
