"Patroclus","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Patroclus_","0030","Patroclus_0030","","","","...试想，他本可以...这一切，本可避免...","","",""
"Integrated","Patroclus_","0031","Patroclus_0031","","","","...他总...你总是如此倔强...","","",""
"Integrated","Patroclus_","0032","Patroclus_0032","","","","...我为何被留在此处，孤身一人？你去了哪里...你都做了些什么？","","",""
"Integrated","Patroclus_","0033","Patroclus_0033","","","","...你一定和我一样，也在某处挣扎着，但在哪...？为何不在我身边...？","","",""
"Integrated","Patroclus_","0034","Patroclus_0034","","","","...那么，我想，我就继续在这等待吧。我的时间可宝贵着呢，呵呵。","","",""
"Integrated","Patroclus_","0035","Patroclus_0035","","","","...但你一定很恨我吧，所以才会选择将我抛弃在那些高贵的战士和国王之中...","","",""
"Integrated","Patroclus_","0036","Patroclus_0036","","","","...诸神肯定是憎恶着我们，所以才会让我们像这样分隔两地...","","",""
"Integrated","Patroclus_","0037","Patroclus_0037","","","","...我们曾经历过的一切，我甚至猜想，那是否只是我的记忆的幻像...","","",""
"Integrated","Patroclus_","0043","Patroclus_0043","","","","怎么了？","","",""
"Integrated","Patroclus_","0044","Patroclus_0044","","","","怎么了，陌生人。","","",""
"Unused","Patroclus_","0047","Patroclus_0047","","","","你一定很需要帮助吧。","","",""
"Integrated","Patroclus_","0056","Patroclus_0056","","","","我猜这应该能起点作用。","","",""
"Integrated","Patroclus_","0057","Patroclus_0057","","","","如果这就是你的选择的话。","","",""
"Integrated","Patroclus_","0058","Patroclus_0058","","","","好的，陌生人。","","",""
"Integrated","Patroclus_","0059","Patroclus_0059","","","","那就这样吧。","","",""
"Integrated","Patroclus_","0060","Patroclus_0060","","","","对我来说都一样。","","",""
"Integrated","Patroclus_","0061","Patroclus_0061","","","","你满意就可以。","","",""
"Integrated","Patroclus_","0062","Patroclus_0062","","","","那么，这个就给你了。","","",""
"Integrated","Patroclus_","0063","Patroclus_0063","","","","行，好吧。","","",""
"Integrated","Patroclus_","0064","Patroclus_0064","","","","给你，现在让我一个人静静吧。","","",""
"Integrated","Patroclus_","0065","Patroclus_0065","","","","去吧。","","",""
"Integrated","Patroclus_","0066","Patroclus_0066","","","","这个我已经不需要了。","","",""
"Integrated","Patroclus_","0067","Patroclus_0067","","","","给你了。","","",""
"Integrated","Patroclus_","0068","Patroclus_0068","","","","我不觉得这个东西能起很大作用。","","",""
"Integrated","Patroclus_","0069","Patroclus_0069","","","","有点用比没有好，对吧？","","",""
"Unused","Patroclus_","0070","Patroclus_0070","","","","<叹气>","","",""
"Unused","Patroclus_","0071","Patroclus_0071","","","","<叹气>","","",""
"Unused","Patroclus_","0072","Patroclus_0072","","","","<叹气>","","",""
"Unused","Patroclus_","0073","Patroclus_0073","","","","<叹气>","","",""
"Unused","Patroclus_","0074","Patroclus_0074","","","","<嘲笑>","","",""
"Unused","Patroclus_","0075","Patroclus_0075","","","","<嘲笑>","","",""
"Integrated","Patroclus_","0076","Patroclus_0076","","","","<轻笑>","","",""
"Unused","Patroclus_","0077","Patroclus_0077","","","","<轻笑>","","",""
"Unused","Patroclus_","0078","Patroclus_0078","","","","陌生人。","","",""
"Unused","Patroclus_","0079","Patroclus_0079","","","","是你吗，陌生人…？","","",""
"Integrated","Patroclus_","0080","Patroclus_0080","","","","陌生人…","","",""
"Unused","Patroclus_","0081","Patroclus_0081","","","","是你。","","",""
"Integrated","Patroclus_","0082","Patroclus_0082","","","","你…？","","",""
"Integrated","Patroclus_","0083","Patroclus_0083","","","","又是你。","","",""
"Unused","Patroclus_","0084","Patroclus_0084","","","","又是你…？","","",""
"Integrated","Patroclus_","0085","Patroclus_0085","","","","你又来了。","","",""
"Unused","Patroclus_","0086","Patroclus_0086","","","","是你啊。","","",""
"Integrated","Patroclus_","0087","Patroclus_0087","","","","噢。","","",""
"Integrated","Patroclus_","0088","Patroclus_0088","","","","没用的…","","",""
"Integrated","Patroclus_","0089","Patroclus_0089","","","","想得美。","","",""
"Integrated","Patroclus_","0090","Patroclus_0090","","","","我只能想。","","",""
"Integrated","Patroclus_","0091","Patroclus_0091","","","","我已经死了。","","",""
"Integrated","Patroclus_","0092","Patroclus_0092","","","","那样是行不通的。","","",""
"Integrated","Patroclus_","0093","Patroclus_0093","","","","这样对我没用。","","",""
"Integrated","Patroclus_","0094","Patroclus_0094","","","","每次都这样。","","",""
"Integrated","Patroclus_","0095","Patroclus_0095","","","","我觉得不行。","","",""
"Integrated","Patroclus_","0096","Patroclus_0096","","","","看到没？","","",""
"Integrated","Patroclus_","0097","Patroclus_0097","","","","没用。","","",""
"Integrated","Patroclus_","0098","Patroclus_0098","","","","我感觉不到。","","",""
"Integrated","Patroclus_","0099","Patroclus_0099","","","","我早就死了，谢谢。","","",""
"Integrated","Patroclus_","0100","Patroclus_0100","","","","别浪费自己时间了。","","",""
"Integrated","Patroclus_","0101","Patroclus_0101","","","","走吧。","","",""
"Integrated","Patroclus_","0102","Patroclus_0102","","","","别这样了。","","",""
"Integrated","Patroclus_","0103","Patroclus_0103","","","","可惜不行。","","",""
"Integrated","Patroclus_","0104","Patroclus_0104","","","","你真是没救了。","","",""
"Unused","Patroclus_","0143","Patroclus_0143","","","","很感谢你一直以来所做的一切，你的耐心和慷慨。我希望你能收下这个，他应该也会这样想的。","","",""
"Integrated","Patroclus_","0144","Patroclus_0144","","","","当我们都还活着的时候，我... 我觉得你无人能敌。我觉得没有人，没有东西能比我们之间的爱更加强大。我是不是被骗了，才会有这种想法？","","",""
"Integrated","Patroclus_","0145","Patroclus_0145","","","","这就是你选择回报我的方式？当我离开你出发参战的时候，你一定觉得是我抛弃了你吧？是这样吗？你觉得我有选择的余地吗？","","",""
"Integrated","Patroclus_","0146","Patroclus_0146","","","","是你做出了那样的选择，不是我。也是你，在所有人都知道，你自己也知道你能让战争结束的时候，选择让战争继续！但你没有。所以我沦落此地。而你？你在另一个地方...","","",""
"Integrated","Patroclus_","0147","Patroclus_0147","","","","为什么在肉体流血，死亡，消逝之后，灵魂仍然留存？这是不是诸神最后的残忍？或者说，这是我们身体中存有一些不朽的东西的证据？","","",""
"Integrated","Patroclus_","0148","Patroclus_0148","","","","对于我来说都一样。我短暂的一生中大部分的时间都是孤身一人，但现在，这是多么冗长的、没有意义的体验啊！为何在这无尽的时光里，我能回忆、细品的不是我独自一人时的欢愉，而是只有他陪在我身边时的那几分高光时刻呢？","","",""
"Integrated","Patroclus_","0149","Patroclus_0149","","","","灵魂，是依附于记忆才免于消散吗？那么为何我不能抛下我的记忆中的高光时刻，一走了之呢？反正我已了无牵挂...","","",""
"Integrated","Patroclus_","0150","Patroclus_0150","","","","来判定人们能不能进入这所谓的“极乐之地”的，究竟是什么标准呢？看来即便是死亡，也毫无公正可言。我认识很多善良的、优秀的人，但进入这里的却不是他们，而是战士、是国王、是屠杀者。“伟大的人”？看来“伟大”的标准确实有点低。","","",""
"Integrated","Patroclus_","0151","Patroclus_0151","","","","我本该被扔进水仙花平原，而不是和这些国王和喜欢自吹自擂的人一同被留在这里。我在这能做些什么？等待，徘徊，沉溺于那些我梦寐以求的东西、我未能得到的东西... 那么，我该做些什么？","","",""
"Integrated","Patroclus_","0152","Patroclus_0152","","","","噢。","","",""
"Integrated","Patroclus_","0153","Patroclus_0153","","","","但是…","","",""
"Integrated","Patroclus_","0154","Patroclus_0154","","","","哎…","","",""
"Integrated","Patroclus_","0155","Patroclus_0155","","","","但是…","","",""
"Integrated","Patroclus_","0156","Patroclus_0156","","","","…啊。","","",""
"Integrated","Patroclus_","0157","Patroclus_0157","","","","…你","","",""
"Integrated","Patroclus_","0158","Patroclus_0158","","","","嗯…","","",""
"Integrated","Patroclus_","0220","Patroclus_0220","","","","你回来了。","","",""
"Integrated","Patroclus_","0221","Patroclus_0221","","","","你回来了，陌生人。","","",""
"Integrated","Patroclus_","0222","Patroclus_0222","","","","啊。","","",""
"Integrated","Patroclus_","0223","Patroclus_0223","","","","噢。","","",""
"Integrated","Patroclus_","0224","Patroclus_0224","","","","欢迎回来。","","",""
"Integrated","Patroclus_","0225","Patroclus_0225","","","","你回来了。","","",""
"Integrated","Patroclus_","0226","Patroclus_0226","","","","是你。","","",""
"Integrated","Patroclus_","0227","Patroclus_0227","","","","阿喀琉斯，瞧啊。","","",""
"Integrated","Patroclus_","0228","Patroclus_0228","","","","有客人来了。","","",""
"Integrated","Patroclus_","0229","Patroclus_0229","","","","我们的客人来了。","","",""
"Integrated","Patroclus_","0230","Patroclus_0230","","","","看看这是谁。","","",""
"Integrated","Patroclus_","0231","Patroclus_0231","","","","陌生人。","","",""
"Integrated","Patroclus_","0232","Patroclus_0232","","","","陌生人……！","","",""
"Integrated","Patroclus_","0233","Patroclus_0233","","","","你好。","","",""
"Integrated","Patroclus_","0234","Patroclus_0234","","","","<轻笑>","","",""
"Integrated","Patroclus_","0235","Patroclus_0235","","","","来吧，请。","","",""
"Integrated","Patroclus_","0236","Patroclus_0236","","","","恕我状态不佳。","","",""
"Integrated","Patroclus_","0237","Patroclus_0237","","","","噢，来吧。","","",""
"Integrated","Patroclus_","0238","Patroclus_0238","","","","请自便。","","",""
"Integrated","Patroclus_","0239","Patroclus_0239","","","","我没心情打架。","","",""
"Integrated","Patroclus_","0240","Patroclus_0240","","","","哦，拜托，发发慈悲吧，陌生人。","","",""
"Integrated","Patroclus_","0241","Patroclus_0241","","","","先别打扰我了，陌生人。","","",""
"Integrated","Patroclus_","0242","Patroclus_0242","","","","我可不想在这里打架。","","",""
"Integrated","Patroclus_","0243","Patroclus_0243","","","","你钓上来一条鱼，是吗？","","",""
"Integrated","Patroclus_","0244","Patroclus_0244","","","","你刚刚是不是又钓上来一条？","","",""
"Integrated","Patroclus_","0245","Patroclus_0245","","","","钓得不错，陌生人。","","",""
"Integrated","Patroclus_","0246","Patroclus_0246","","","","你让这条鱼尝到了厉害。","","",""
"Integrated","Patroclus_","0247","Patroclus_0247","","","","你很聪明，陌生人。","","",""
"Integrated","Patroclus_","0248","Patroclus_0248","","","","又钓到一条。","","",""
"Integrated","Patroclus_","0249","Patroclus_0249","","","","又钓到一条，哈。","","",""
"Integrated","Patroclus_","0250","Patroclus_0250","","","","请让我静一静。","","",""
"Integrated","Patroclus_","0251","Patroclus_0251","","","","堂堂正正的胜利。","","",""
"Integrated","Patroclus_","0252","Patroclus_0252","","","","干得漂亮。","","",""
"Integrated","Patroclus_","0253","Patroclus_0253","","","","鱼又知道什么呢？","","",""
"Integrated","Patroclus_","0254","Patroclus_0254","","","","真是一条蠢鱼。","","",""
"Integrated","Patroclus_","0255","Patroclus_0255","","","","它应该更小心点才是。","","",""
"Integrated","Patroclus_","0256","Patroclus_0256","","","","至少在河里很安全。","","",""
"Integrated","Patroclus_","0257","Patroclus_0257","","","","太糟糕了，陌生人。","","",""
"Integrated","Patroclus_","0258","Patroclus_0258","","","","<轻笑>","","",""
"Integrated","Patroclus_","0259","Patroclus_0259","","","","让它跑了，是吗？","","",""
"Integrated","Patroclus_","0260","Patroclus_0260","","","","真可惜，陌生人。","","",""
"Integrated","Patroclus_","0261","Patroclus_0261","","","","好运从来不会长久……","","",""
"Integrated","Patroclus_","0262","Patroclus_0262","","","","继续努力吧，陌生人。","","",""
"Integrated","Patroclus_","0263","Patroclus_0263","","","","我想也是……","","",""
"Integrated","Patroclus_","0264","Patroclus_0264","","","","我相信你，迟早会抓住它的……","","",""
"Integrated","Patroclus_","0265","Patroclus_0265","","","","我什么都没看到，陌生人。","","",""
"Integrated","Patroclus_","0266","Patroclus_0266","","","","你失手了，是吗？","","",""
"Integrated","Patroclus_","0267","Patroclus_0267","","","","运气不太好啊，陌生人。","","",""
"Integrated","Patroclus_","0268","Patroclus_0268","","","","我还以为你把它钓上来了呢……","","",""
"Integrated","Patroclus_","0269","Patroclus_0269","","","","保重。","","",""
"Integrated","Patroclus_","0270","Patroclus_0270","","","","再见了。","","",""
"Integrated","Patroclus_","0271","Patroclus_0271","","","","祝你好运。","","",""
"Integrated","Patroclus_","0272","Patroclus_0272","","","","保重。","","",""
"Integrated","Patroclus_","0273","Patroclus_0273","","","","注意安全。","","",""
"Integrated","Patroclus_","0274","Patroclus_0274","","","","后会有期。","","",""
"Integrated","Patroclus_","0275","Patroclus_0275","","","","继续前进吧。","","",""
"Integrated","Patroclus_","0276","Patroclus_0276","","","","再见。","","",""
"Integrated","Patroclus_","0277","Patroclus_0277","","","","再见，陌生人。","","",""
"Integrated","Patroclus_","0278","Patroclus_0278","","","","再见。","","",""
"Integrated","Patroclus_","0279","Patroclus_0279","","","","请便吧。","","",""
"Integrated","Patroclus_","0280","Patroclus_0280","","","","收下吧。","","",""
"Integrated","Patroclus_","0281","Patroclus_0281","","","","来，收下吧。","","",""
"Integrated","Patroclus_","0282","Patroclus_0282","","","","收下吧。","","",""
"Integrated","Patroclus_","0283","Patroclus_0283","","","","这是给你的。","","",""
"Integrated","Patroclus_","0284","Patroclus_0284","","","","这都是给你的。","","",""
"Integrated","Patroclus_","0285","Patroclus_0285","","","","没问题。","","",""
"Integrated","Patroclus_","0286","Patroclus_0286","","","","当然可以。","","",""
"Integrated","Patroclus_","0287","Patroclus_0287","","","","很好。","","",""
"Integrated","Patroclus_","0288","Patroclus_0288","","","","反正我也不需要了。","","",""
"Integrated","Patroclus_","0289","Patroclus_0289","","","","……只要喝上一杯，这一切都可以释怀，可我却总是在迟疑……","","",""
"Integrated","Patroclus_","0290","Patroclus_0290","","","","……不知道你现在在哪里？不知道你现在在想什么呢……？","","",""
"Integrated","Patroclus_","0291","Patroclus_0291","","","","……你对每件事情都是这么固执……你总是这么不肯变通，到死都没有变过……","","",""
"Integrated","Patroclus_","0292","Patroclus_0292","","","","……我猜，这是命运女神给我们的安排，既然如此……我们又哪里抱怨得了呢……？","","",""
"Integrated","Patroclus_","0293","Patroclus_0293","","","","……我还能做什么呢？我能改变你的心意吗？我已经试过了，全心全意地试过了。你肯定早就知道了，可即便如此，还是远远不够……","","",""
"Integrated","Patroclus_","0294","Patroclus_0294","","","","……你选择在荣耀中死亡，而不是在宁静中生活……这又是为了什么呢？真是太可悲了，都怪你那愚蠢的高傲。你更在乎的，应该是被那些你素不相识的人们铭记，而不是被爱着……","","",""
"Integrated","Patroclus_","0295","Patroclus_0295","","","","……我们并肩作战的时候所向无敌，不是吗？不过，我从来都不怀念那段日子……","","",""
"Integrated","Patroclus_","0296","Patroclus_0296","","","","……我还以为我迷失了方向，到处……游荡。可我甚至哪里都没有去，只是……待在这里……","","",""
"Integrated","Patroclus_","0297","Patroclus_0297","","","","……他到底什么时候才会回来呢，这实在是太漫长了……","","",""
"Integrated","Patroclus_","0298","Patroclus_0298","","","","……那个该死的神，我希望他有好好地尊重你……","","",""
"Integrated","Patroclus_","0299","Patroclus_0299","","","","……有谁会想到呢，有朝一日，我竟然可以在这里与你重聚……","","",""
"Integrated","Patroclus_","0300","Patroclus_0300","","","","……不知道你去了哪里……是不是在看守着某个金碧辉煌的大厅呢……","","",""
"Integrated","Patroclus_","0301","Patroclus_0301","","","","……让我看看，林地最近看起来很整洁，大概吧……","","",""
"Integrated","Patroclus_","0302","Patroclus_0302","","","","……如今我们的余生都可以互相作伴了……看来，命运女神对我们还是很仁慈的……","","",""
"Integrated","Patroclus_","0303","Patroclus_0303","","","","……那些鱼还真活跃啊，不是吗？","","",""
"Integrated","Patroclus_","0304","Patroclus_0304","","","","……哈哈哈，那可真是太奇妙了。","","",""
"Integrated","Patroclus_","0305","Patroclus_0305","","","","……稍等一下，我觉得有人来看我们了。","","",""
"Integrated","Patroclus_","0306","Patroclus_0306","","","","……哦，这一点我不太确定，你确定吗？","","",""
"Integrated","Patroclus_","0307","Patroclus_0307","","","","……来吧，我觉得那不是什么需要在乎的事情。","","",""
"Integrated","Patroclus_","0308","Patroclus_0308","","","","……你总是这么顽固，好吧，行吧，你就这样吧……！","","",""
"Integrated","Patroclus_","0309","Patroclus_0309","","","","……恐惧是弱者的专利，不是吗，我的朋友？","","",""
"Integrated","Patroclus_","0310","Patroclus_0310","","","","……哈哈哈，等等，我的朋友，有人来了。","","",""
"Integrated","Patroclus_","0311","Patroclus_0311","","","","……哈哈哈，哦，好像是有人来看我们了。","","",""
"Integrated","Patroclus_","0312","Patroclus_0312","","","","……哈哈哈，等等，有人来了……","","",""
"Integrated","Patroclus_","0313","Patroclus_0313","","","","……嗯，不过，看起来有人来了，是吧？","","",""
"Integrated","Patroclus_","0314","Patroclus_0314","","","","……不过，快看，是你的弟子来了，是吧？","","",""
"Integrated","Patroclus_","0333","Patroclus_0333","","","","嗯？","","",""
"Integrated","Patroclus_","0334","Patroclus_0334","","","","呃……","","",""
"Integrated","Patroclus_","0335","Patroclus_0335","","","","呵……","","",""
"Integrated","Patroclus_","0336","Patroclus_0336","","","","嗯。","","",""
"Integrated","Patroclus_","0337","Patroclus_0337","","","","啊，没错。","","",""
"Darren","Patroclus_","0340","Patroclus_0340","","","","<轻笑>","","",""
"Darren","Patroclus_","0341","Patroclus_0341","","","","<轻笑>","","",""
"Integrated","Patroclus_","0342","Patroclus_0342","","","","<轻笑>","","",""
"Darren","Patroclus_","0343","Patroclus_0343","","","","<大笑>","","",""
"Darren","Patroclus_","0344","Patroclus_0344","","","","<大笑>","","",""
"Darren","Patroclus_","0345","Patroclus_0345","","","","<嘲笑>","","",""
"Darren","Patroclus_","0346","Patroclus_0346","","","","<嘲笑>","","",""
"Integrated","Patroclus_","0347","Patroclus_0347","","","","来了！","","",""
"Integrated","Patroclus_","0348","Patroclus_0348","","","","马上就到！","","",""
"Integrated","Patroclus_","0349","Patroclus_0349","","","","准备好了！","","",""
"Integrated","Patroclus_","0350","Patroclus_0350","","","","我们听到你的呼唤了！","","",""
"Integrated","Patroclus_","0351","Patroclus_0351","","","","我们听到你的呼唤了，陌生人！","","",""
"Integrated","Patroclus_","0352","Patroclus_0352","","","","没问题，陌生人！","","",""
"Integrated","Patroclus_","0353","Patroclus_0353","","","","我们马上就到！","","",""
"Integrated","Patroclus_","0354","Patroclus_0354","","","","马上就到！","","",""
"Integrated","Patroclus_","0355","Patroclus_0355","","","","坚持住，陌生人！","","",""
"Integrated","Patroclus_","0356","Patroclus_0356","","","","马上就好了。","","",""
"Integrated","Patroclus_","0357","Patroclus_0357","","","","阿喀琉斯！","","",""
"Integrated","Patroclus_","0358","Patroclus_0358","","","","阿喀琉斯，并肩战斗吧！","","",""
"Integrated","Patroclus_","0359","Patroclus_0359","","","","并肩作战吧，阿喀琉斯！","","",""
"Integrated","Patroclus_","0360","Patroclus_0360","","","","并肩作战吧，我的朋友！","","",""
"Integrated","Patroclus_","0361","Patroclus_0361","","","","确实如此，我的朋友！","","",""
"Integrated","Patroclus_","0362","Patroclus_0362","","","","确实如此！","","",""
"Integrated","Patroclus_","0363","Patroclus_0363","","","","交给我们吧！","","",""
"Integrated","Patroclus_","0364","Patroclus_0364","","","","就在你身后！","","",""
"Integrated","Patroclus_","0365","Patroclus_0365","","","","就像以前那样！","","",""
"Integrated","Patroclus_","0366","Patroclus_0366","","","","没问题！","","",""
"Integrated","Patroclus_","0367","Patroclus_0367","","","","准备好了！","","",""
"Integrated","Patroclus_","0368","Patroclus_0368","","","","是那头公牛！","","",""
"Integrated","Patroclus_","0369","Patroclus_0369","","","","啊，是米诺斯的公牛！","","",""
"Integrated","Patroclus_","0370","Patroclus_0370","","","","怎么，那不是最强战士嘛！","","",""
"Integrated","Patroclus_","0371","Patroclus_0371","","","","你好啊，忒修斯！","","",""
"Integrated","Patroclus_","0372","Patroclus_0372","","","","啊，是最强战士……","","",""
"Integrated","Patroclus_","0373","Patroclus_0373","","","","我猜，我们得和神明为敌了！","","",""
"Integrated","Patroclus_","0374","Patroclus_0374","","","","真是个强敌！","","",""
"Integrated","Patroclus_","0375","Patroclus_0375","","","","我觉得这不是我们该打的仗。","","",""
"Integrated","Patroclus_","0376","Patroclus_0376","","","","那边有个强敌！","","",""
"Integrated","Patroclus_","0377","Patroclus_0377","","","","再见了！","","",""
"Integrated","Patroclus_","0378","Patroclus_0378","","","","继续战斗！","","",""
"Integrated","Patroclus_","0379","Patroclus_0379","","","","继续战斗，陌生人！","","",""
"Integrated","Patroclus_","0380","Patroclus_0380","","","","祝你一切顺利！","","",""
"Integrated","Patroclus_","0381","Patroclus_0381","","","","祝你一切顺利，陌生人！","","",""
"Integrated","Patroclus_","0382","Patroclus_0382","","","","我们回来了！","","",""
"Integrated","Patroclus_","0383","Patroclus_0383","","","","那就再来一次！","","",""
"Integrated","Patroclus_","0384","Patroclus_0384","","","","再来一次！","","",""
"Integrated","Patroclus_","0385","Patroclus_0385","","","","已经好了。","","",""
"Integrated","Patroclus_","0386","Patroclus_0386","","","","这可不行。","","",""
"Integrated","Patroclus_","0387","Patroclus_0387","","","","哈，这真的有用吗。","","",""
"Integrated","Patroclus_","0388","Patroclus_0388","","","","我已经到了，谢谢。","","",""
"Integrated","Patroclus_","0389","Patroclus_0389","","","","看起来是你召唤了我。","","",""
