"Sisyphus","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Sisyphus_","0026","Sisyphus_0026","","","","我和石头都非常荣幸能够为您服务，殿下！","","",""
"Darren","Sisyphus_","0027","Sisyphus_0027","","","","怎么说？","","",""
"Darren","Sisyphus_","0028","Sisyphus_0028","","","","有什么事情我能帮您的吗？","","",""
"Darren","Sisyphus_","0029","Sisyphus_0029","","","","让我们帮您上路吧！","","",""
"Darren","Sisyphus_","0030","Sisyphus_0030","","","","需要帮忙吗？","","",""
"Darren","Sisyphus_","0031","Sisyphus_0031","","","","这些有您感兴趣的吗？","","",""
"Darren","Sisyphus_","0033","Sisyphus_0033","","","","我觉得没问题！","","",""
"Darren","Sisyphus_","0034","Sisyphus_0034","","","","来吧选一个！","","",""
"Darren","Sisyphus_","0035","Sisyphus_0035","","","","我能为您做点什么？","","",""
"Integrated","Sisyphus_","0036","Sisyphus_0036","","","","我可是您的坚强后盾！","","",""
"Darren","Sisyphus_","0037","Sisyphus_0037","","","","我有这些。","","",""
"Integrated","Sisyphus_","0038","Sisyphus_0038","","","","没问题！","","",""
"Integrated","Sisyphus_","0039","Sisyphus_0039","","","","您说了算。","","",""
"Integrated","Sisyphus_","0040","Sisyphus_0040","","","","我懂！","","",""
"Integrated","Sisyphus_","0041","Sisyphus_0041","","","","慢慢来！","","",""
"Integrated","Sisyphus_","0042","Sisyphus_0042","","","","选得好！","","",""
"Integrated","Sisyphus_","0043","Sisyphus_0043","","","","选得不错！","","",""
"Integrated","Sisyphus_","0044","Sisyphus_0044","","","","都归您了！","","",""
"Integrated","Sisyphus_","0045","Sisyphus_0045","","","","行，给！","","",""
"Integrated","Sisyphus_","0046","Sisyphus_0046","","","","好主意！","","",""
"Integrated","Sisyphus_","0047","Sisyphus_0047","","","","我觉得可以！","","",""
"Integrated","Sisyphus_","0048","Sisyphus_0048","","","","真是太棒了！","","",""
"Integrated","Sisyphus_","0049","Sisyphus_0049","","","","完全不担心！","","",""
"Integrated","Sisyphus_","0050","Sisyphus_0050","","","","这难道就是…？","","",""
"Integrated","Sisyphus_","0051","Sisyphus_0051","","","","哎嗨！","","",""
"Integrated","Sisyphus_","0052","Sisyphus_0052","","","","哎嗨这儿呢！","","",""
"Integrated","Sisyphus_","0053","Sisyphus_0053","","","","看清楚啦！","","",""
"Integrated","Sisyphus_","0054","Sisyphus_0054","","","","喂！","","",""
"Integrated","Sisyphus_","0055","Sisyphus_0055","","","","喂喂喂！","","",""
"Integrated","Sisyphus_","0056","Sisyphus_0056","","","","稍微休息一会儿！","","",""
"Integrated","Sisyphus_","0057","Sisyphus_0057","","","","来得正好！","","",""
"Integrated","Sisyphus_","0058","Sisyphus_0058","","","","殿下！","","",""
"Integrated","Sisyphus_","0059","Sisyphus_0059","","","","哎呀哎呀！","","",""
"Integrated","Sisyphus_","0060","Sisyphus_0060","","","","您真是光芒四射啊！","","",""
"Integrated","Sisyphus_","0061","Sisyphus_0061","","","","扎格王子！","","",""
"Integrated","Sisyphus_","0062","Sisyphus_0062","","","","嘿！","","",""
"Integrated","Sisyphus_","0063","Sisyphus_0063","","","","早上中午下午晚上好！","","",""
"Integrated","Sisyphus_","0064","Sisyphus_0064","","","","呃，皇子？","","",""
"Integrated","Sisyphus_","0065","Sisyphus_0065","","","","没门！","","",""
"Integrated","Sisyphus_","0066","Sisyphus_0066","","","","没用的。","","",""
"Integrated","Sisyphus_","0067","Sisyphus_0067","","","","我早就是死人一个了，皇子。","","",""
"Integrated","Sisyphus_","0068","Sisyphus_0068","","","","别麻烦了，皇子。","","",""
"Integrated","Sisyphus_","0069","Sisyphus_0069","","","","来啊。","","",""
"Integrated","Sisyphus_","0070","Sisyphus_0070","","","","来。","","",""
"Integrated","Sisyphus_","0071","Sisyphus_0071","","","","何必呢？","","",""
"Integrated","Sisyphus_","0072","Sisyphus_0072","","","","随便你来！","","",""
"Integrated","Sisyphus_","0073","Sisyphus_0073","","","","有意思，皇子。","","",""
"Integrated","Sisyphus_","0074","Sisyphus_0074","","","","哎哟，好疼噢！","","",""
"Integrated","Sisyphus_","0075","Sisyphus_0075","","","","完全没感觉的。","","",""
"Integrated","Sisyphus_","0076","Sisyphus_0076","","","","就是这样，发泄出来。","","",""
"Darren","Sisyphus_","0077","Sisyphus_0077","","","","我需要帮助…！","","",""
"Darren","Sisyphus_","0078","Sisyphus_0078","","","","喂来帮我一把！","","",""
"Darren","Sisyphus_","0079","Sisyphus_0079","","","","我遇到麻烦了，王子…！","","",""
"Darren","Sisyphus_","0080","Sisyphus_0080","","","","我觉得我需要帮助…！","","",""
"Darren","Sisyphus_","0081","Sisyphus_0081","","","","呃，你好，皇子…！","","",""
"Darren","Sisyphus_","0082","Sisyphus_0082","","","","天气真不错啊，皇子…！","","",""
"Darren","Sisyphus_","0083","Sisyphus_0083","","","","呃，你好，最近如何？","","",""
"Darren","Sisyphus_","0084","Sisyphus_0084","","","","可以帮个忙吗？","","",""
"Darren","Sisyphus_","0085","Sisyphus_0085","","","","我也不想劳烦您，但是…","","",""
"Darren","Sisyphus_","0086","Sisyphus_0086","","","","噢你好啊皇子…！","","",""
"Darren","Sisyphus_","0087","Sisyphus_0087","","","","帮个忙吧？","","",""
"Integrated","Sisyphus_","0088","Sisyphus_0088","","","","呃么，皇子…？","","",""
"Darren","Sisyphus_","0089","Sisyphus_0089","","","","出了小问题，皇子！","","",""
"Darren","Sisyphus_","0090","Sisyphus_0090","","","","塔耳塔罗斯的一天开始了！","","",""
"Darren","Sisyphus_","0091","Sisyphus_0091","","","","您真是光芒四射啊！","","",""
"Darren","Sisyphus_","0092","Sisyphus_0092","","","","扎格王子！","","",""
"Darren","Sisyphus_","0093","Sisyphus_0093","","","","早上中午下午晚上好！","","",""
"Darren","Sisyphus_","0094","Sisyphus_0094","","","","殿下！","","",""
"Darren","Sisyphus_","0095","Sisyphus_0095","","","","谢谢您，皇子。","","",""
"Darren","Sisyphus_","0096","Sisyphus_0096","","","","谢谢。","","",""
"Darren","Sisyphus_","0097","Sisyphus_0097","","","","我欠您的。","","",""
"Darren","Sisyphus_","0098","Sisyphus_0098","","","","来得真是时候啊！","","",""
"Darren","Sisyphus_","0099","Sisyphus_0099","","","","呼！","","",""
"Darren","Sisyphus_","0100","Sisyphus_0100","","","","呼。","","",""
"Darren","Sisyphus_","0101","Sisyphus_0101","","","","可算歇了。","","",""
"Darren","Sisyphus_","0102","Sisyphus_0102","","","","真安静！","","",""
"Darren","Sisyphus_","0103","Sisyphus_0103","","","","您教训了他们！","","",""
"Darren","Sisyphus_","0104","Sisyphus_0104","","","","他们一定吸取教训了！","","",""
"Darren","Sisyphus_","0105","Sisyphus_0105","","","","您打败他们了！","","",""
"Darren","Sisyphus_","0106","Sisyphus_0106","","","","更好了！","","",""
"Darren","Sisyphus_","0107","Sisyphus_0107","","","","这样才像话！","","",""
"Darren","Sisyphus_","0108","Sisyphus_0108","","","","还以为他们都不会跑呢！","","",""
"Darren","Sisyphus_","0109","Sisyphus_0109","","","","我欠您一份人情。","","",""
"Darren","Sisyphus_","0110","Sisyphus_0110","","","","您能出现真是太好了。","","",""
"Integrated","Sisyphus_","0111","Sisyphus_0111","","","","一路保重！","","",""
"Integrated","Sisyphus_","0112","Sisyphus_0112","","","","祝您好运！","","",""
"Integrated","Sisyphus_","0113","Sisyphus_0113","","","","祝您一路顺风！","","",""
"Integrated","Sisyphus_","0114","Sisyphus_0114","","","","您自己保重！","","",""
"Integrated","Sisyphus_","0115","Sisyphus_0115","","","","好好收拾他们，王子！","","",""
"Integrated","Sisyphus_","0116","Sisyphus_0116","","","","再会了，殿下！","","",""
"Integrated","Sisyphus_","0117","Sisyphus_0117","","","","祝您安全！","","",""
"Integrated","Sisyphus_","0118","Sisyphus_0118","","","","再见！","","",""
"Integrated","Sisyphus_","0119","Sisyphus_0119","","","","您可以的！","","",""
"Integrated","Sisyphus_","0120","Sisyphus_0120","","","","再见了！","","",""
"Integrated","Sisyphus_","0121","Sisyphus_0121","","","","加油，皇子！","","",""
"Integrated","Sisyphus_","0122","Sisyphus_0122","","","","您注意安全！","","",""
"Integrated","Sisyphus_","0123","Sisyphus_0123","","","","再见！","","",""
"Integrated","Sisyphus_","0124","Sisyphus_0124","","","","您可以的！","","",""
"Integrated","Sisyphus_","0125","Sisyphus_0125","","","","您可以的，王子！","","",""
"Integrated","Sisyphus_","0126","Sisyphus_0126","","","","再会了！","","",""
"Integrated","Sisyphus_","0127","Sisyphus_0127","","","","好，拜拜！","","",""
"Integrated","Sisyphus_","0128","Sisyphus_0128","","","","在外小心！","","",""
"Integrated","Sisyphus_","0132","Sisyphus_0132","","","","嚯那可真是番大事业呢，王子。如果不是您亲口提出来的，我肯定会说这人疯了。不过您想实现它其实也有够疯狂的了！哎，等一下，给——这东西应该能帮到您。","","",""
"Darren","Sisyphus_","0161","Sisyphus_0161","","","","好了，扎格皇子，如果您对我如此慷慨，我一定得回个礼才行。不能等，就是现在回。所以，拿好了，我的谢意。","","",""
"Darren","Sisyphus_","0162","Sisyphus_0162","","","","噢，这下我下个世纪的推石头工程就不会无聊了！我这里也有要给您的东西。","","",""
"Integrated","Sisyphus_","0206","Sisyphus_0206","","","","石头，看看是谁来了！","","",""
"Integrated","Sisyphus_","0207","Sisyphus_0207","","","","哈喽，殿下！","","",""
"Integrated","Sisyphus_","0208","Sisyphus_0208","","","","您回来了，欢迎光临！","","",""
"Integrated","Sisyphus_","0209","Sisyphus_0209","","","","他回来了，石头！","","",""
"Integrated","Sisyphus_","0210","Sisyphus_0210","","","","见到您真好！","","",""
"Integrated","Sisyphus_","0211","Sisyphus_0211","","","","你又逮着我在偷懒了！","","",""
"Integrated","Sisyphus_","0212","Sisyphus_0212","","","","哈喽，扎格王子！","","",""
"Integrated","Sisyphus_","0213","Sisyphus_0213","","","","见到您真好，皇子！","","",""
"Integrated","Sisyphus_","0214","Sisyphus_0214","","","","是他呀，石头！","","",""
"Integrated","Sisyphus_","0215","Sisyphus_0215","","","","幸好是你！","","",""
"Integrated","Sisyphus_","0216","Sisyphus_0216","","","","嗨，有什么新闻吗？","","",""
"Integrated","Sisyphus_","0217","Sisyphus_0217","","","","皇子归来！","","",""
"Integrated","Sisyphus_","0218","Sisyphus_0218","","","","真令人惊喜！","","",""
"Integrated","Sisyphus_","0219","Sisyphus_0219","","","","哦嚯，看看谁来了，石头！","","",""
"Integrated","Sisyphus_","0220","Sisyphus_0220","","","","这我能做！","","",""
"Integrated","Sisyphus_","0221","Sisyphus_0221","","","","眼光独到！","","",""
"Integrated","Sisyphus_","0222","Sisyphus_0222","","","","我可是您的坚强后盾，王子殿下！","","",""
"Integrated","Sisyphus_","0223","Sisyphus_0223","","","","当然了，殿下！","","",""
"Integrated","Sisyphus_","0224","Sisyphus_0224","","","","没问题，扎王子！","","",""
"Integrated","Sisyphus_","0225","Sisyphus_0225","","","","乐意为您效劳，王子殿下！","","",""
"Integrated","Sisyphus_","0226","Sisyphus_0226","","","","别担心！","","",""
"Integrated","Sisyphus_","0227","Sisyphus_0227","","","","我力所能及，王子殿下！","","",""
"Integrated","Sisyphus_","0228","Sisyphus_0228","","","","正中靶心，扎王子！","","",""
"Integrated","Sisyphus_","0229","Sisyphus_0229","","","","瞧好吧！","","",""
"Integrated","Sisyphus_","0230","Sisyphus_0230","","","","啊，没问题，扎王子！","","",""
"Integrated","Sisyphus_","0231","Sisyphus_0231","","","","给你！","","",""
"Integrated","Sisyphus_","0232","Sisyphus_0232","","","","哈，打得好，王子殿下！","","",""
"Integrated","Sisyphus_","0233","Sisyphus_0233","","","","啊，你打着我了，殿下！","","",""
"Integrated","Sisyphus_","0234","Sisyphus_0234","","","","噢，拜托，发发慈悲吧！","","",""
"Integrated","Sisyphus_","0235","Sisyphus_0235","","","","你就这点能耐吗，扎王子？","","",""
"Integrated","Sisyphus_","0236","Sisyphus_0236","","","","别一蹶不振，好吗？","","",""
"Integrated","Sisyphus_","0237","Sisyphus_0237","","","","准备好继续前进了吗？","","",""
"Integrated","Sisyphus_","0238","Sisyphus_0238","","","","射得好，王子殿下！","","",""
"Integrated","Sisyphus_","0239","Sisyphus_0239","","","","啊，我被打中了！","","",""
"Integrated","Sisyphus_","0240","Sisyphus_0240","","","","哇，你好厉害，扎王子！","","",""
"Integrated","Sisyphus_","0241","Sisyphus_0241","","","","呼，真是精彩，王子殿下！","","",""
"Integrated","Sisyphus_","0242","Sisyphus_0242","","","","回头见了。","","",""
"Integrated","Sisyphus_","0243","Sisyphus_0243","","","","记得替我向复仇三女神问声好！","","",""
"Integrated","Sisyphus_","0244","Sisyphus_0244","","","","干得漂亮，王子殿下！","","",""
"Integrated","Sisyphus_","0245","Sisyphus_0245","","","","记得回来哦！","","",""
"Integrated","Sisyphus_","0246","Sisyphus_0246","","","","在外头小心点，好么？","","",""
"Integrated","Sisyphus_","0247","Sisyphus_0247","","","","殿下，希望您这次能逃出去！","","",""
"Integrated","Sisyphus_","0248","Sisyphus_0248","","","","是我的荣幸，皇子！","","",""
"Integrated","Sisyphus_","0249","Sisyphus_0249","","","","别了，殿下！","","",""
"Integrated","Sisyphus_","0250","Sisyphus_0250","","","","你觉得他这次会全力以赴的吧，石头？","","",""
"Integrated","Sisyphus_","0251","Sisyphus_0251","","","","继续战斗，殿下！","","",""
"Integrated","Sisyphus_","0252","Sisyphus_0252","","","","谢谢你来看我！","","",""
"Integrated","Sisyphus_","0253","Sisyphus_0253","","","","直到下次见，好么？","","",""
"Integrated","Sisyphus_","0254","Sisyphus_0254","","","","挑一个适合您的对手啊，王子殿下！","","",""
"Integrated","Sisyphus_","0255","Sisyphus_0255","","","","这场仗你可赢不了！","","",""
"Integrated","Sisyphus_","0256","Sisyphus_0256","","","","就凭这些是动不了这块老石头的，王子殿下！","","",""
"Integrated","Sisyphus_","0257","Sisyphus_0257","","","","他挺重，不是吗！","","",""
"Integrated","Sisyphus_","0258","Sisyphus_0258","","","","无论你拿出什么本事，石头都能承受得住！","","",""
"Integrated","Sisyphus_","0259","Sisyphus_0259","","","","这可没必要，王子殿下。","","",""
"Integrated","Sisyphus_","0260","Sisyphus_0260","","","","有什么本事都使出来吧，王子殿下！","","",""
"Integrated","Sisyphus_","0261","Sisyphus_0261","","","","嘿，那是我的好朋友，扎王子。","","",""
"Integrated","Sisyphus_","0262","Sisyphus_0262","","","","别伤到石头，王子殿下。","","",""
"Integrated","Sisyphus_","0263","Sisyphus_0263","","","","那块石头可老结实了呢。","","",""
"Integrated","Sisyphus_","0264","Sisyphus_0264","","","","别伤着了，好么？","","",""
"Integrated","Sisyphus_","0265","Sisyphus_0265","","","","来吧，殿下！","","",""
"Integrated","Sisyphus_","0266","Sisyphus_0266","","","","为什么，殿下？","","",""
"Integrated","Sisyphus_","0267","Sisyphus_0267","","","","噢，石头对你做了什么？","","",""
"Integrated","Sisyphus_","0268","Sisyphus_0268","","","","底下！","","",""
"Integrated","Sisyphus_","0269","Sisyphus_0269","","","","上面！","","",""
"Integrated","Sisyphus_","0270","Sisyphus_0270","","","","扎格皇子！","","",""
"Integrated","Sisyphus_","0271","Sisyphus_0271","","","","坚持住，王子殿下！","","",""
"Integrated","Sisyphus_","0272","Sisyphus_0272","","","","让一让！！","","",""
"Integrated","Sisyphus_","0273","Sisyphus_0273","","","","石头！","","",""
"Integrated","Sisyphus_","0274","Sisyphus_0274","","","","我们走！","","",""
"Integrated","Sisyphus_","0275","Sisyphus_0275","","","","看招！","","",""
"Integrated","Sisyphus_","0276","Sisyphus_0276","","","","让一下！","","",""
"Integrated","Sisyphus_","0277","Sisyphus_0277","","","","哎哟！","","",""
"Integrated","Sisyphus_","0278","Sisyphus_0278","","","","哎嗨，王子殿下！","","",""
"Integrated","Sisyphus_","0279","Sisyphus_0279","","","","哎嗨！！","","",""
"Integrated","Sisyphus_","0280","Sisyphus_0280","","","","还有，这儿！","","",""
"Integrated","Sisyphus_","0281","Sisyphus_0281","","","","我们来了，殿下！","","",""
"Integrated","Sisyphus_","0282","Sisyphus_0282","","","","乐意效劳！","","",""
"Integrated","Sisyphus_","0283","Sisyphus_0283","","","","马上就到！","","",""
"Integrated","Sisyphus_","0284","Sisyphus_0284","","","","石头来了！","","",""
"Integrated","Sisyphus_","0285","Sisyphus_0285","","","","就是现在，石头！","","",""
"Integrated","Sisyphus_","0286","Sisyphus_0286","","","","哈，哈哈！！","","",""
"Integrated","Sisyphus_","0287","Sisyphus_0287","","","","不好意思没听清！！","","",""
"Integrated","Sisyphus_","0288","Sisyphus_0288","","","","嗨嗨，王子殿下！！","","",""
"Integrated","Sisyphus_","0289","Sisyphus_0289","","","","我来掩护你！！","","",""
"Integrated","Sisyphus_","0290","Sisyphus_0290","","","","不好意思，女士！！","","",""
"Integrated","Sisyphus_","0291","Sisyphus_0291","","","","是时候报仇了，石头！","","",""
"Integrated","Sisyphus_","0292","Sisyphus_0292","","","","是复仇女神三姐妹！","","",""
"Integrated","Sisyphus_","0293","Sisyphus_0293","","","","哎嗨，女士！！","","",""
"Integrated","Sisyphus_","0294","Sisyphus_0294","","","","收拾掉她，石头！","","",""
"Integrated","Sisyphus_","0295","Sisyphus_0295","","","","让她尝尝厉害！","","",""
"Integrated","Sisyphus_","0296","Sisyphus_0296","","","","是塔纳托斯大人！","","",""
"Integrated","Sisyphus_","0297","Sisyphus_0297","","","","哎嗨，塔纳托斯大人！","","",""
"Integrated","Sisyphus_","0298","Sisyphus_0298","","","","最近怎么样，塔纳托斯大人？！","","",""
"Integrated","Sisyphus_","0299","Sisyphus_0299","","","","最近生意怎么样，塔纳托斯大人？","","",""
"Integrated","Sisyphus_","0300","Sisyphus_0300","","","","不用管我，塔纳托斯大人！","","",""
"Integrated","Sisyphus_","0301","Sisyphus_0301","","","","啊，这不是塔纳托斯大人嘛！","","",""
"Integrated","Sisyphus_","0302","Sisyphus_0302","","","","是你啊，哈迪斯大人！","","",""
"Integrated","Sisyphus_","0303","Sisyphus_0303","","","","哎嗨，冥王哈迪斯大人！！","","",""
"Integrated","Sisyphus_","0304","Sisyphus_0304","","","","抱歉，哈迪斯大人！","","",""
"Integrated","Sisyphus_","0305","Sisyphus_0305","","","","冥王哈迪斯本尊！！","","",""
"Integrated","Sisyphus_","0306","Sisyphus_0306","","","","殿下！！","","",""
"Integrated","Sisyphus_","0307","Sisyphus_0307","","","","你们两个要好好的！","","",""
"Integrated","Sisyphus_","0308","Sisyphus_0308","","","","我们来帮您了，殿下！","","",""
"Integrated","Sisyphus_","0309","Sisyphus_0309","","","","扎格皇子，我们回来了！","","",""
"Integrated","Sisyphus_","0310","Sisyphus_0310","","","","再让他们尝尝厉害，石头！","","",""
"Integrated","Sisyphus_","0311","Sisyphus_0311","","","","我们来啦，王子殿下！","","",""
"Integrated","Sisyphus_","0312","Sisyphus_0312","","","","就在你身边，王子殿下！","","",""
"Integrated","Sisyphus_","0313","Sisyphus_0313","","","","再来一次，石头！","","",""
"Integrated","Sisyphus_","0314","Sisyphus_0314","","","","石头来了，借过借过！","","",""
"Integrated","Sisyphus_","0315","Sisyphus_0315","","","","再来一次，石头！","","",""
"Integrated","Sisyphus_","0316","Sisyphus_0316","","","","哎呀！","","",""
"Integrated","Sisyphus_","0317","Sisyphus_0317","","","","对不起！","","",""
"Integrated","Sisyphus_","0318","Sisyphus_0318","","","","我的错！","","",""
"Integrated","Sisyphus_","0319","Sisyphus_0319","","","","石头！！","","",""
"Integrated","Sisyphus_","0320","Sisyphus_0320","","","","啊，好吧！","","",""
"Integrated","Sisyphus_","0321","Sisyphus_0321","","","","我的锅！","","",""
"Integrated","Sisyphus_","0322","Sisyphus_0322","","","","偏了！","","",""
"Integrated","Sisyphus_","0323","Sisyphus_0323","","","","我们打偏了？","","",""
"Integrated","Sisyphus_","0324","Sisyphus_0324","","","","打错了，王子殿下！","","",""
"Integrated","Sisyphus_","0325","Sisyphus_0325","","","","哈哈，真可惜啊！","","",""
"Integrated","Sisyphus_","0326","Sisyphus_0326","","","","恐怕不行，扎王子。","","",""
"Integrated","Sisyphus_","0327","Sisyphus_0327","","","","这样做有什么好处啊？","","",""
"Integrated","Sisyphus_","0328","Sisyphus_0328","","","","噢，不是吧。","","",""
"Integrated","Sisyphus_","0329","Sisyphus_0329","","","","前来援助！","","",""
"Integrated","Sisyphus_","0330","Sisyphus_0330","","","","什么时候叫我们帮忙都行！","","",""
"Integrated","Sisyphus_","0331","Sisyphus_0331","","","","我们在这，皇子！","","",""
"Integrated","Sisyphus_","0332","Sisyphus_0332","","","","殿下，来呀！","","",""
"Integrated","Sisyphus_","0333","Sisyphus_0333","","","","需要我们就叫我们！","","",""
"Integrated","Sisyphus_","0356","Sisyphus_0356","","","","石头表示义不容辞！","","",""
"Integrated","Sisyphus_","0357","Sisyphus_0357","","","","我代表石头谢谢你！","","",""
"Integrated","Sisyphus_","0358","Sisyphus_0358","","","","看石头多开心啊！","","",""
"Integrated","Sisyphus_","0359","Sisyphus_0359","","","","真是个听话的石头啊，对不对，王子殿下！","","",""
"Integrated","Sisyphus_","0360","Sisyphus_0360","","","","石头可喜欢你了，王子殿下！","","",""
"Integrated","Sisyphus_","0361","Sisyphus_0361","","","","看上去他喜欢您！","","",""
"Integrated","Sisyphus_","0362","Sisyphus_0362","","","","石头感激不尽。","","",""
"Integrated","Sisyphus_","0363","Sisyphus_0363","","","","接受您的礼物，王子殿下！","","",""
"Integrated","Sisyphus_","0364","Sisyphus_0364","","","","我肯定他非常感激，王子殿下。","","",""
"Integrated","Sisyphus_","0365","Sisyphus_0365","","","","你真好，扎王子！","","",""
"Integrated","Sisyphus_","0366","Sisyphus_0366","","","","石头已经准备好支援你了！","","",""
"Integrated","Sisyphus_","0367","Sisyphus_0367","","","","看到没，石头？","","",""
"Integrated","Sisyphus_","0368","Sisyphus_0368","","","","我觉得，石头开始喜欢上你了！","","",""
"Integrated","Sisyphus_","0369","Sisyphus_0369","","","","石头可真听话，是吧！","","",""
"Integrated","Sisyphus_","0370","Sisyphus_0370","","","","石头已经为您祈福了！","","",""
"Integrated","Sisyphus_","0371","Sisyphus_0371","","","","给这些破罐子点颜色瞧瞧！","","",""
"Integrated","Sisyphus_","0372","Sisyphus_0372","","","","射得好，扎王子！","","",""
"Integrated","Sisyphus_","0373","Sisyphus_0373","","","","这动静怎么听都不腻！","","",""
"Integrated","Sisyphus_","0374","Sisyphus_0374","","","","谢谢你帮了个小忙！","","",""
"Integrated","Sisyphus_","0375","Sisyphus_0375","","","","他们不停地在更换那些东西。","","",""
"Integrated","Sisyphus_","0376","Sisyphus_0376","","","","射得好，扎王子！","","",""
"Integrated","Sisyphus_","0377","Sisyphus_0377","","","","还好不是我！","","",""
"Integrated","Sisyphus_","0378","Sisyphus_0378","","","","那些罐子你尽管随便砸！","","",""
"Integrated","Sisyphus_","0379","Sisyphus_0379","","","","恐怕都是空的，王子殿下！","","",""
"Integrated","Sisyphus_","0380","Sisyphus_0380","","","","别操心那些事情了，王子殿下。","","",""
"Integrated","Sisyphus_","0381","Sisyphus_0381","","","","你把他们全都赶走了！","","",""
"Integrated","Sisyphus_","0382","Sisyphus_0382","","","","那些暗灵总是会回来。","","",""
"Integrated","Sisyphus_","0383","Sisyphus_0383","","","","噢，那群暗灵也没那么坏啊。","","",""
"Integrated","Sisyphus_","0384","Sisyphus_0384","","","","麻烦他们干嘛，扎格皇子？","","",""
"Integrated","Sisyphus_","0385","Sisyphus_0385","","","","这不需要这样，皇子。","","",""
"Integrated","Sisyphus_","0386","Sisyphus_0386","","","","他们下次还会回来。","","",""
"Integrated","Sisyphus_","0387","Sisyphus_0387","","","","那些暗灵是被困在了这里，王子殿下。","","",""
"Integrated","Sisyphus_","0388","Sisyphus_0388","","","","干嘛要把那些暗灵赶走？","","",""
"Darren","Sisyphus_","0389","Sisyphus_0389","","","","哦，那，我就把这个先收起来，皇子！","","",""
"Darren","Sisyphus_","0390","Sisyphus_0390","","","","非常感谢，殿下，放心吧。","","",""
"Darren","Sisyphus_","0391","Sisyphus_0391","","","","这是给我的吗，扎格皇子？那么，好啊！","","",""
"Darren","Sisyphus_","0392","Sisyphus_0392","","","","如果您坚持的话，我就收下了，殿下。","","",""
"Darren","Sisyphus_","0393","Sisyphus_0393","","","","虽然我用不着，但是我还是接受吧，王子殿下！","","",""
"Darren","Sisyphus_","0394","Sisyphus_0394","","","","哎呀，殿下，您真是太客气了。","","",""
"Darren","Sisyphus_","0395","Sisyphus_0395","","","","请不要误会，王子殿下，但我真的不能接受这件东西。","","",""
"Darren","Sisyphus_","0396","Sisyphus_0396","","","","抱歉，扎格皇子，但是我不需要这个。您最好留着它。","","",""
"Darren","Sisyphus_","0397","Sisyphus_0397","","","","可惜我不需要这个，殿下，但是我很荣幸！","","",""
"Darren","Sisyphus_","0398","Sisyphus_0398","","","","谢谢您，扎王子，不过我暂时还用不上它。","","",""
"Darren","Sisyphus_","0399","Sisyphus_0399","","","","殿下，我想跟您说个事情。","","",""
"Darren","Sisyphus_","0400","Sisyphus_0400","","","","扎王子，如果不介意的话，我想请您帮个小忙。","","",""
"Darren","Sisyphus_","0401","Sisyphus_0401","","","","我一直想问您一件事，殿下。","","",""
"Darren","Sisyphus_","0402","Sisyphus_0402","","","","如果您有时间的话，我有个小小要求，皇子。","","",""
"Darren","Sisyphus_","0403","Sisyphus_0403","","","","<笑声>","","",""
"Darren","Sisyphus_","0404","Sisyphus_0404","","","","<笑声>","","",""
"Darren","Sisyphus_","0405","Sisyphus_0405","","","","呵嗯。","","",""
"Darren","Sisyphus_","0406","Sisyphus_0406","","","","呃。","","",""
"Darren","Sisyphus_","0407","Sisyphus_0407","","","","<嘲笑>","","",""
"Darren","Sisyphus_","0408","Sisyphus_0408","","","","什么？","","",""
"Darren","Sisyphus_","0409","Sisyphus_0409","","","","嗯。","","",""
"Darren","Sisyphus_","0410","Sisyphus_0410","","","","唔姆。","","",""
"Darren","Sisyphus_","0414","Sisyphus_0414","","","","哦哦，这是您送过的最好的东西了，扎王子！","","",""
"Darren","Sisyphus_","0415","Sisyphus_0415","","","","这真的是给我的吗，殿下？您知道我超级喜欢这东西？？","","",""
"Darren","Sisyphus_","0416","Sisyphus_0416","","","","啊啊，看看王子给咱们带什么来了，石头！","","",""
"Darren","Sisyphus_","0417","Sisyphus_0417","","","","我代表石头和我本人，向您表示由衷的感谢。","","",""
"Integrated","Sisyphus_","0447","Sisyphus_0447","","","","嗨，卡戎！","","",""
"Integrated","Sisyphus_","0448","Sisyphus_0448","","","","是卡戎啊！","","",""
"Integrated","Sisyphus_","0449","Sisyphus_0449","","","","哎哟，这不是卡戎嘛！","","",""
"Integrated","Sisyphus_","0450","Sisyphus_0450","","","","给你点东西吧，卡戎！","","",""
"Integrated","Sisyphus_","0451","Sisyphus_0451","","","","把他砸扁，石头！","","",""
"Integrated","Sisyphus_","0452","Sisyphus_0452","","","","这是给你的费用，卡戎！","","",""
"Integrated","Sisyphus_","0463","Sisyphus_0463","","","","石头很喜欢！","","",""
"Integrated","Sisyphus_","0464","Sisyphus_0464","","","","嘿，看石头多开心啊！","","",""
"Integrated","Sisyphus_","0465","Sisyphus_0465","","","","你真是太亲切了，扎王子。","","",""
"Integrated","Sisyphus_","0466","Sisyphus_0466","","","","你看到了没，石头？","","",""
"Integrated","Sisyphus_","0467","Sisyphus_0467","","","","你们两个很合得来嘛！","","",""
"Integrated","Sisyphus_","0468","Sisyphus_0468","","","","石头会掩护你的。","","",""
